algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored,total_N,mean_storage_used,mean_upload_time,mean_N,initial_node_sizes,final_node_sizes,total_chunking_time,mean_chunking_time,mean_parralelized_upload_time,total_read_time,mean_read_time,total_read_time_parrallelized,mean_read_time_parrallelized,total_reconstruct_time,mean_reconstruct_time,size_stored
alg4_1, 145.926707, 18423038.329565, 92876.124995, 28325.398341, 103925, 430699, 177.272440, 0.893684, 4.144325, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[11015573.772960, 11468923.413562, 11015614.464569, 11015622.857397, 11015571.149357, 11015619.540837, 11468923.413562, 7996374.950003, 3996374.950003, 11568363.158187]", 294439.072583, 2.833188, 0.272556, 88136.035885, 0.848073, 27968.251812, 0.269120, 584159.326400, 5.620970, 12167987.508348
alg_bogdan, 0.268588, 20730259.314664, 107386.158003, 39233.073097, 103867, 354063, 199.584655, 1.033881, 3.408811, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[10908643.647432, 10908658.046615, 10908741.647705, 10908649.099106, 10908756.349380, 10908759.299207, 10908759.146609, 8000000.000000, 4000000.000000, 10908773.449281]", 302952.142546, 2.916731, 0.377724, 102224.223835, 0.984184, 38708.576117, 0.372674, 540739.211913, 5.206073, 12160737.408354
alg1_c, 0.425954, 15204088.051985, 87377.011283, 14729.910316, 103925, 982377, 146.298658, 0.840770, 9.452750, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[12365404.557611, 14365404.557611, 12365404.557611, 10406836.297697, 10406848.264308, 10406833.180994, 14365404.557611, 6751895.611251, 2955039.742365, 10406840.620955]", 272866.014232, 2.625605, 0.141736, 82635.319656, 0.795144, 14468.378862, 0.139219, 854687.493291, 8.224080, 12167987.508348
least_used_node, 0.095301, 20765073.814632, 107590.662448, 39264.722643, 103922, 354613, 199.814032, 1.035302, 3.412300, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[10905162.197435, 10905176.596618, 10905260.197709, 10905167.649110, 10905274.899383, 10905277.849211, 10905277.696612, 7996518.550003, 3996518.550003, 10905291.999284]", 303303.553139, 2.918569, 0.377829, 102416.629668, 0.985514, 38739.660492, 0.372776, 541050.408441, 5.206313, 12167700.308348
hdfs_rs_3_2_c, 0.111739, 19014479.512568, 90083.234692, 20293.568362, 97449, 487245, 195.122367, 0.924414, 5.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[10447221.431023, 12197104.097487, 10197104.097487, 8250801.264143, 8743013.298023, 11749882.666464, 15454090.799464, 8000000.000000, 4000000.000000, 11946302.833344]", 302666.972939, 3.105901, 0.208248, 84220.881914, 0.864256, 19498.500438, 0.200089, 559129.786902, 5.737666, 11408687.707541
glusterfs_6_4_c, 0.129971, 15135636.309065, 72732.186980, 13538.791655, 86221, 517326, 175.544662, 0.843555, 6.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[11532638.748484, 13477393.948489, 11477393.948489, 9477393.948489, 9605843.423538, 9477393.948489, 15871550.524951, 8000000.000000, 4000000.000000, 11944755.200006]", 260902.790928, 3.025977, 0.157024, 68729.526219, 0.797132, 13591.367992, 0.157634, 540167.421566, 6.264917, 10090424.206043
hdfs_rs_6_3_c, 0.180656, 17794471.812138, 98173.484663, 17660.045569, 101318, 911862, 175.629916, 0.968964, 9.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[12022836.465317, 14022836.465317, 12022836.465317, 10022836.465317, 10022836.465317, 10022836.465317, 14022836.465317, 6022836.465318, 2064722.765361, 11958113.699957]", 336766.021651, 3.323852, 0.174303, 91675.734075, 0.904832, 14924.941473, 0.147308, 742782.098401, 7.331196, 11862981.208092
daos_1_0_c, 0.237616, 26818984.507878, 131942.599969, 31296.722433, 103867, 765808, 258.205056, 1.270303, 7.372967, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[8576177.658175, 10576177.658175, 8576177.658175, 6576177.658175, 11037583.561924, 11037583.561924, 15037583.561924, 7037583.561924, 3077016.974466, 11648953.637259]", 299822.871991, 2.886604, 0.301315, 122657.365275, 1.180908, 29817.277849, 0.287072, 729762.666525, 7.025934, 12160737.408354
