data_size, chunk_size, N, K, chosen_nodes
118.500000, 16.928571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
164.399994, 23.485713, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.300000, 0.328571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
160.300003, 22.900000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
71.000000, 10.142857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
191.399994, 27.342856, 10, 7, 1 6 7 9 2 0 3 8 4 5 
124.199997, 17.742857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
214.600006, 30.657144, 10, 7, 1 6 7 9 2 0 3 8 4 5 
122.099998, 17.442857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.100000, 0.300000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
193.399994, 27.628571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
121.599998, 17.371428, 10, 7, 1 6 7 9 2 0 3 8 4 5 
199.199997, 28.457142, 10, 7, 1 6 7 9 2 0 3 8 4 5 
70.199997, 10.028571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
51.400002, 7.342857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
62.700001, 8.957143, 10, 7, 1 6 7 9 2 0 3 8 4 5 
135.899994, 19.414285, 10, 7, 1 6 7 9 2 0 3 8 4 5 
73.099998, 10.442857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
161.300003, 23.042858, 10, 7, 1 6 7 9 2 0 3 8 4 5 
73.699997, 10.528571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
188.300003, 26.900000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.200000, 0.314286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
155.699997, 22.242857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
121.099998, 17.300000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
187.199997, 26.742857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
213.899994, 30.557142, 10, 7, 1 6 7 9 2 0 3 8 4 5 
52.099998, 7.442857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
131.199997, 18.742857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.100000, 0.300000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
191.500000, 27.357143, 10, 7, 1 6 7 9 2 0 3 8 4 5 
121.000000, 17.285714, 10, 7, 1 6 7 9 2 0 3 8 4 5 
49.400002, 7.057143, 10, 7, 1 6 7 9 2 0 3 8 4 5 
137.300003, 19.614286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
72.300003, 10.328572, 10, 7, 1 6 7 9 2 0 3 8 4 5 
73.800003, 10.542858, 10, 7, 1 6 7 9 2 0 3 8 4 5 
32.299999, 4.614286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
17.200001, 2.457143, 10, 7, 1 6 7 9 2 0 3 8 4 5 
266.700012, 38.100002, 10, 7, 1 6 7 9 2 0 3 8 4 5 
243.300003, 34.757143, 10, 7, 1 6 7 9 2 0 3 8 4 5 
11.900000, 1.700000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
120.500000, 17.214286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.400000, 0.342857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
152.199997, 21.742857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
157.100006, 22.442858, 10, 7, 1 6 7 9 2 0 3 8 4 5 
189.500000, 27.071429, 10, 7, 1 6 7 9 2 0 3 8 4 5 
121.400002, 17.342857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
196.399994, 28.057142, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.100000, 0.300000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
68.800003, 9.828572, 10, 7, 1 6 7 9 2 0 3 8 4 5 
247.000000, 35.285714, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.200000, 0.314286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
133.300003, 19.042858, 10, 7, 1 6 7 9 2 0 3 8 4 5 
191.699997, 27.385714, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.100000, 0.300000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
213.199997, 30.457142, 10, 7, 1 6 7 9 2 0 3 8 4 5 
124.099998, 17.728571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
138.199997, 19.742857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
52.299999, 7.471428, 10, 7, 1 6 7 9 2 0 3 8 4 5 
48.599998, 6.942857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
146.500000, 20.928571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
70.500000, 10.071429, 10, 7, 1 6 7 9 2 0 3 8 4 5 
74.300003, 10.614286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
51.700001, 7.385714, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.500000, 0.357143, 10, 7, 1 6 7 9 2 0 3 8 4 5 
154.600006, 22.085715, 10, 7, 1 6 7 9 2 0 3 8 4 5 
67.800003, 9.685715, 10, 7, 1 6 7 9 2 0 3 8 4 5 
158.300003, 22.614286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
192.300003, 27.471429, 10, 7, 1 6 7 9 2 0 3 8 4 5 
132.699997, 18.957142, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.200000, 0.314286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
124.599998, 17.800000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
227.000000, 32.428571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
134.500000, 19.214286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
212.800003, 30.400000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
124.400002, 17.771429, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.300000, 0.328571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
188.600006, 26.942858, 10, 7, 1 6 7 9 2 0 3 8 4 5 
184.800003, 26.400000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
133.800003, 19.114286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
