data_size, chunk_size, N, K, chosen_nodes
118.500000, 13.166667, 10, 9, 1 6 7 9 2 0 3 8 4 5 
164.399994, 18.266666, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.300000, 0.255556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
160.300003, 17.811111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
71.000000, 7.888889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
191.399994, 21.266666, 10, 9, 1 6 7 9 2 0 3 8 4 5 
124.199997, 13.800000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
214.600006, 23.844445, 10, 9, 1 6 7 9 2 0 3 8 4 5 
122.099998, 13.566666, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.100000, 0.233333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
193.399994, 21.488888, 10, 9, 1 6 7 9 2 0 3 8 4 5 
121.599998, 13.511111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
199.199997, 22.133333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
70.199997, 7.800000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
51.400002, 5.711111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
62.700001, 6.966667, 10, 9, 1 6 7 9 2 0 3 8 4 5 
135.899994, 15.099999, 10, 9, 1 6 7 9 2 0 3 8 4 5 
73.099998, 8.122222, 10, 9, 1 6 7 9 2 0 3 8 4 5 
161.300003, 17.922223, 10, 9, 1 6 7 9 2 0 3 8 4 5 
73.699997, 8.188889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
188.300003, 20.922223, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.200000, 0.244444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
155.699997, 17.300000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
121.099998, 13.455555, 10, 9, 1 6 7 9 2 0 3 8 4 5 
187.199997, 20.800000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
213.899994, 23.766666, 10, 9, 1 6 7 9 2 0 3 8 4 5 
52.099998, 5.788889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
131.199997, 14.577777, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.100000, 0.233333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
191.500000, 21.277778, 10, 9, 1 6 7 9 2 0 3 8 4 5 
121.000000, 13.444444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
49.400002, 5.488889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
137.300003, 15.255556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
72.300003, 8.033334, 10, 9, 1 6 7 9 2 0 3 8 4 5 
73.800003, 8.200000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
32.299999, 3.588889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
17.200001, 1.911111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
266.700012, 29.633335, 10, 9, 1 6 7 9 2 0 3 8 4 5 
243.300003, 27.033334, 10, 9, 1 6 7 9 2 0 3 8 4 5 
11.900000, 1.322222, 10, 9, 1 6 7 9 2 0 3 8 4 5 
120.500000, 13.388889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.400000, 0.266667, 10, 9, 1 6 7 9 2 0 3 8 4 5 
152.199997, 16.911111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
157.100006, 17.455556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
189.500000, 21.055556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
121.400002, 13.488889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
196.399994, 21.822222, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.100000, 0.233333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
68.800003, 7.644445, 10, 9, 1 6 7 9 2 0 3 8 4 5 
247.000000, 27.444444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.200000, 0.244444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
133.300003, 14.811111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
191.699997, 21.300000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.100000, 0.233333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
213.199997, 23.688889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
124.099998, 13.788889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
138.199997, 15.355555, 10, 9, 1 6 7 9 2 0 3 8 4 5 
52.299999, 5.811111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
48.599998, 5.400000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
146.500000, 16.277778, 10, 9, 1 6 7 9 2 0 3 8 4 5 
70.500000, 7.833333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
74.300003, 8.255556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
51.700001, 5.744445, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.500000, 0.277778, 10, 9, 1 6 7 9 2 0 3 8 4 5 
154.600006, 17.177778, 10, 9, 1 6 7 9 2 0 3 8 4 5 
67.800003, 7.533334, 10, 9, 1 6 7 9 2 0 3 8 4 5 
158.300003, 17.588889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
192.300003, 21.366667, 10, 9, 1 6 7 9 2 0 3 8 4 5 
132.699997, 14.744444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.200000, 0.244444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
124.599998, 13.844444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
227.000000, 25.222222, 10, 9, 1 6 7 9 2 0 3 8 4 5 
134.500000, 14.944444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
212.800003, 23.644445, 10, 9, 1 6 7 9 2 0 3 8 4 5 
124.400002, 13.822222, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.300000, 0.255556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
188.600006, 20.955556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
184.800003, 20.533334, 10, 9, 1 6 7 9 2 0 3 8 4 5 
133.800003, 14.866667, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.200000, 0.244444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
67.099998, 7.455555, 10, 9, 1 6 7 9 2 0 3 8 4 5 
74.199997, 8.244444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
50.299999, 5.588889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
146.800003, 16.311111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
67.400002, 7.488889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
80.699997, 8.966666, 10, 9, 1 6 7 9 2 0 3 8 4 5 
73.800003, 8.200000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.400000, 0.266667, 10, 9, 1 6 7 9 2 0 3 8 4 5 
149.300003, 16.588889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
154.199997, 17.133333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
184.000000, 20.444444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
134.600006, 14.955556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.300000, 0.255556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.500000, 0.277778, 10, 9, 1 6 7 9 2 0 3 8 4 5 
139.399994, 15.488888, 10, 9, 1 6 7 9 2 0 3 8 4 5 
140.699997, 15.633333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
116.099998, 12.900000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
213.199997, 23.688889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
132.199997, 14.688889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
