algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored,total_N,mean_storage_used,mean_upload_time,mean_N,initial_node_sizes,final_node_sizes,total_chunking_time,mean_chunking_time,mean_parralelized_upload_time
alg4, 859.495888, 222490642.752889, 1315374.560188, 246791.382034, 1247100, 9683469, 178.406417, 1.054747, 7.764790, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[-3779857.562722, -8772325.151442, -15410463.752670, -15410430.071852, -8682756.364501, -15410478.792515, -15410459.172415, -8682737.824972, -3779887.895798, -15151246.164082]", 4049046.141720, 3.246769, 0.197892
alg2, 126.679798, 213023775.306149, 1209956.187798, 239735.393733, 1247100, 7995062, 170.815312, 0.970216, 6.410923, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[14000000.000000, -11503962.620248, -21503962.602990, -23503962.602991, -21503962.620259, -15999999.299242, -13503962.672452, -13503963.199757, 14000000.000000, -7999999.688212]", 3735055.402494, 2.994993, 0.192234
alg1, 1000.4204208850861, 101999998.58340004, 592701.1272742416, 99714.28438094459, 392856, 3501666, 259.63711533844474, 1.508698167456375, 8.9133575661311, "[14000000, 18000000, 12000000, 10000000, 8000000, 12000000, 12000000, 8000000, 14000000, 4000000]", "[2000000.1666643906, 6000000.166666148, 0.16666332700446418, 0.1166639437034962, 0.1499981094273053, 0.16666332700446418, 0.16666332700446418, 0.1499981094273053, 2000000.1666643906, 3.8042007449723414e-07]", 1681869.8625606003, 4.281135740730956, 0.253818916806526
random, 1838.868522644043, 91782520.19998017, 534696.6481221466, 101315.39444380526, 151022, 1159739, 607.7427143063936, 3.5405215672031, 7.679271894161116, "[14000000, 18000000, 12000000, 10000000, 8000000, 12000000, 12000000, 8000000, 14000000, 4000000]", "[3709109.333332871, 7686567.924999002, 1704579.3916664468, 0.525000007097439, 0.1833333997696841, 1712245.3416664405, 1719181.024999829, 0.04166671964998847, 3685795.9999995674, 0.033333378488536236]", 746976.7319851005, 4.946145144317388, 0.6708651351710695
hdfsrs_3_2, 254.02787733078003, 0, 0, 0, 0, 0, 0, 0, 0, "[14000000, 18000000, 12000000, 10000000, 8000000, 12000000, 12000000, 8000000, 14000000, 4000000]", "[14000000, 18000000, 12000000, 10000000, 8000000, 12000000, 12000000, 8000000, 14000000, 4000000]", 0, 0, 0
hdfsrs_6_3, 118.80531120300293, 0, 0, 0, 0, 0, 0, 0, 0, "[14000000, 18000000, 12000000, 10000000, 8000000, 12000000, 12000000, 8000000, 14000000, 4000000]", "[14000000, 18000000, 12000000, 10000000, 8000000, 12000000, 12000000, 8000000, 14000000, 4000000]", 0, 0, 0
glusterfs_6_4, 24.91286301612854, 83999998.05007917, 452013.8082545589, 88119.61942549929, 478311, 2869866, 175.61795160487458, 0.945020725541664, 6.0, "[14000000, 18000000, 12000000, 10000000, 8000000, 12000000, 12000000, 8000000, 14000000, 4000000]", "[0.3250006011886736, 4000000.325002585, 0.3250000525480272, 0.29999944603033046, 0.14999906576807676, 0.3250000525480272, 6000000.1750004655, 4000000.024999132, 12000000.00000057, 1999999.9999998703]", 1448080.5582385596, 3.0274874678578576, 0.18423080260646166
