algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored,total_N,mean_storage_used,mean_upload_time,mean_N,initial_node_sizes,final_node_sizes,total_chunking_time,mean_chunking_time,mean_parralelized_upload_time
alg4, 794.216858, 146015850.100211, 827569.244058, 172621.120185, 1039250, 6235500, 140.501179, 0.796314, 6.000000, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[14000000.000000, -6335975.016692, -12335975.016694, -10223957.293941, -4167962.069657, -10223992.475497, -10223999.994898, -4168012.947041, 14000000.000000, -4335975.285750]", 2592441.814162, 2.494531, 0.166102
alg1, 365.337500333786, 101999998.7870653, 592701.1284721314, 99714.28450676768, 597893, 5244322, 170.59908509894797, 0.9913163868319773, 8.77133868434653, "[14000000, 18000000, 12000000, 10000000, 8000000, 12000000, 12000000, 8000000, 14000000, 4000000]", "[2000000.1492787686, 6000000.149279346, 0.1492821112756647, 0.2742853272616016, 0.014287472556847647, 0.1492821112756647, 0.1492821112756647, 0.014287472556847647, 2000000.1492787686, 0.014285873345562389]", 1916161.3437140933, 3.2048566277144794, 0.1667761363768562
random, 707.1084349155426, 101999926.50974135, 592664.1439681861, 138386.83556033374, 231932, 1447644, 439.7837577813383, 2.5553358051850807, 6.2416742838418156, "[14000000, 18000000, 12000000, 10000000, 8000000, 12000000, 12000000, 8000000, 14000000, 4000000]", "[1992142.8661900791, 5997359.944523179, 0.7195235389680832, 0.04452352311945784, 0.024523839021262095, 0.07285678620552039, 0.5111899142880114, 0.1161904649964769, 2010569.172856679, 0.01785722696450226]", 959797.9407787453, 4.138273031659044, 0.5966698668589662
hdfs_three_replications, 14.022788047790527, 101999318.69996372, 565702.846863436, 203473.49246578384, 290406, 871219, 351.2300665274262, 1.947972310707892, 3.000003443455025, "[14000000, 18000000, 12000000, 10000000, 8000000, 12000000, 12000000, 8000000, 14000000, 4000000]", "[52.29999984922611, 44.19999929649224, 124.70000000413214, 2.8000001546386386, 75.20000024654206, 81.40000000053348, 99.59999998048843, 0.0, 10000099.599999906, 101.50000001811387]", 947859.7367557461, 3.2639123735589006, 0.7006518200925045
hdfsrs_3_2, 23.843600273132324, 99999997.83329897, 551801.7798117764, 129549.75085766117, 512462, 2562310, 195.13641564310907, 1.0767662379098868, 5.0, "[14000000, 18000000, 12000000, 10000000, 8000000, 12000000, 12000000, 8000000, 14000000, 4000000]", "[0.16666852702128265, 0.30000197199178236, 0.20000126305966448, 0.16666736160540563, 0.033333572932454314, 0.4000012866326398, 2000000.2666680124, 0.23333356074176492, 8000000.266668399, 2000000.1333332574]", 1591912.7500116476, 3.1064015478448113, 0.252798745775611
hdfsrs_6_3, 22.109103441238403, 71999998.04991965, 409809.54779779335, 63999.99826669735, 409962, 3689658, 175.62602887565103, 0.9996281308945545, 9.0, "[14000000, 18000000, 12000000, 10000000, 8000000, 12000000, 12000000, 8000000, 14000000, 4000000]", "[6000000.216664069, 10000000.216661833, 4000000.216665794, 2000000.2166670922, 0.21666790324665297, 4000000.216665794, 4000000.216665794, 0.21666790324665297, 6000000.216664069, 4000000]", 1362731.6252576595, 3.3240437534641245, 0.15611202566749444
glusterfs_6_4, 24.207072257995605, 83999998.05007917, 452013.8082545589, 88119.61942549929, 478311, 2869866, 175.61795160487458, 0.945020725541664, 6.0, "[14000000, 18000000, 12000000, 10000000, 8000000, 12000000, 12000000, 8000000, 14000000, 4000000]", "[0.3250006011886736, 4000000.325002585, 0.3250000525480272, 0.29999944603033046, 0.14999906576807676, 0.3250000525480272, 6000000.1750004655, 4000000.024999132, 12000000.00000057, 1999999.9999998703]", 1448080.5582385596, 3.0274874678578576, 0.18423080260646166
