algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored,total_N,mean_storage_used,mean_upload_time,mean_N,initial_node_sizes,final_node_sizes,total_chunking_time,mean_chunking_time,mean_parralelized_upload_time
alg4, 556.641639, 102000001.662325, 579015.555592, 105214.289254, 751644, 5944655, 135.702542, 0.770332, 7.908870, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[0.198200, 4000000.198198, 0.149611, 0.011008, 0.003452, 0.149611, 0.149611, 0.174893, 5999997.230867, 0.072244]", 1761791.083480, 2.343917, 0.139979
alg1_c, 1.130181, 107999998.618033, 627015.531463, 115714.282446, 734513, 6217830, 147.036198, 0.853648, 8.465242, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[0.400096, 4000000.400094, 0.001538, 0.022894, 0.040958, 0.001538, 0.001538, 0.040958, 0.400096, 0.072244]", 1962620.602180, 2.672003, 0.157539
alg_bogdan, 3.814153, 111999998.960904, 645707.121971, 206754.774178, 709424, 3453504, 157.874556, 0.910185, 4.868039, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[0.089758, 0.153163, 0.055238, 0.123203, 0.123219, 0.077656, 0.099186, 0.010318, 0.194139, 0.113234]", 1813417.301887, 2.556183, 0.291440
hdfs_3_replication_c, 1.243628, 101999318.770304, 565702.847264, 203473.492571, 290406, 871219, 351.230067, 1.947972, 3.000003, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[52.290283, 44.187631, 124.691726, 2.793289, 75.194733, 81.391775, 99.591550, 0.000000, 10000099.591550, 101.497159]", 947769.970419, 3.263603, 0.700652
glusterfs_6_4_c, 1.404843, 83999998.107546, 452013.808564, 88119.619486, 478311, 2869866, 175.617952, 0.945021, 6.000000, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[0.315409, 4000000.315409, 0.316753, 0.293159, 0.144487, 0.316753, 6000000.170922, 4000000.022250, 11999999.998656, 1999999.998656]", 1447958.994201, 3.027233, 0.184231
hdfs_rs_3_2_c, 0.406947, 99999997.901755, 551801.780189, 129549.750946, 512462, 2562310, 195.136416, 1.076766, 5.000000, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[0.157116, 0.287632, 0.191758, 0.159802, 0.027906, 0.391742, 2000000.259847, 0.227890, 8000000.262534, 2000000.132017]", 1591773.240316, 3.106129, 0.252799
hdfs_rs_6_3_c, 0.403019, 71999998.099480, 409809.548079, 63999.998311, 409962, 3689658, 175.626029, 0.999628, 9.000000, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[6000000.211168, 10000000.211168, 4000000.211168, 2000000.211169, 0.211169, 4000000.211168, 4000000.211168, 0.211169, 6000000.211168, 4000000.000000]", 1362622.871803, 3.323778, 0.156112
random_c, 3.831061, 111999976.942592, 645706.988480, 169251.552073, 450896, 2385726, 248.394257, 1.432053, 5.291078, "[14000000.000000, 18000000.000000, 12000000.000000, 10000000.000000, 8000000.000000, 12000000.000000, 12000000.000000, 8000000.000000, 14000000.000000, 4000000.000000]", "[0.353737, 0.076644, 7.636381, 0.257941, 3.200006, 0.080476, 7.636335, 0.259432, 0.353754, 3.202714]", 1490536.099995, 3.305720, 0.375367
