ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
118,12.417477,0.091177,0.014111,0.291957,10,8,0.085783,0.013859,0.884737
119,10.621362,0.077989,0.012070,0.249728,10,8,0.073375,0.011854,0.756765
120,3555.364990,26.105787,4.040187,82.776422,10,8,24.561352,3.968041,252.556757
125,0.003654,0.000027,0.000004,0.000085,10,8,0.000025,0.000004,0.000260
126,16.967880,0.124589,0.019282,0.398946,10,8,0.117218,0.018937,1.208950
128,17.684347,0.129850,0.020096,0.415791,10,8,0.122168,0.019737,1.259998
130,1516.994507,11.138754,1.723857,35.318843,10,8,10.479778,1.693074,107.760304
131,10.629360,0.078048,0.012079,0.249916,10,8,0.073430,0.011863,0.757335
132,0.402070,0.002952,0.000457,0.009453,10,8,0.002778,0.000449,0.028647
133,637148.062500,4678.352815,724.031889,14834.155457,10,8,4401.578497,711.102748,45260.064454
134,0.141835,0.001041,0.000161,0.003302,10,8,0.000980,0.000158,0.010075
135,37878.441406,278.127995,43.043683,881.890288,10,8,261.673766,42.275046,2690.710057
136,0.423059,0.003106,0.000481,0.009850,10,8,0.002923,0.000472,0.030052
137,134.040802,0.984214,0.152319,3.106124,10,8,0.925987,0.149599,9.468044
138,17563.453125,128.962223,19.958469,408.914363,10,8,121.332736,19.602068,1247.626835
139,453.276428,3.328248,0.515087,10.553235,10,8,3.131347,0.505889,32.198670
140,0.002432,0.000018,0.000003,0.000057,10,8,0.000017,0.000003,0.000173
141,0.923294,0.006779,0.001049,0.021496,10,8,0.006378,0.001030,0.065587
143,229026.171875,1681.658156,260.257013,5332.214029,10,8,1582.170193,255.609567,16268.964642
145,18.073124,0.132705,0.020538,0.424932,10,8,0.124854,0.020171,1.287698
146,0.049292,0.000362,0.000056,0.001159,10,8,0.000341,0.000055,0.003512
147,7621.796387,55.964154,8.661132,177.451552,10,8,52.653280,8.506469,541.417319
148,0.001032,0.000008,0.000001,0.000024,10,8,0.000007,0.000001,0.000073
149,528.913086,3.883622,0.601038,12.314216,10,8,3.653864,0.590305,37.571550
151,5.442003,0.039959,0.006184,0.126701,10,8,0.037595,0.006074,0.386575
152,5.518858,0.040523,0.006271,0.128491,10,8,0.038126,0.006159,0.392034
153,219399.781250,1610.974975,249.317933,5108.091280,10,8,1515.668674,244.865827,15585.150179
154,9194.812500,67.514255,10.448651,214.074696,10,8,63.520069,10.262068,653.157140
157,229641.203125,1686.174113,260.955913,5346.533258,10,8,1586.418983,256.295986,16312.653630
158,51021.628906,374.633771,57.979124,1187.891511,10,8,352.470199,56.943782,3624.341576
159,445.798065,3.273337,0.506589,10.379123,10,8,3.079685,0.497542,31.667442
160,0.049210,0.000361,0.000056,0.001146,10,8,0.000340,0.000055,0.003496
161,0.003838,0.000028,0.000004,0.000089,10,8,0.000027,0.000004,0.000273
162,0.015760,0.000116,0.000018,0.000367,10,8,0.000109,0.000018,0.001120
165,0.000540,0.000004,0.000001,0.000013,10,8,0.000004,0.000001,0.000038
