ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
1240,0.018467,0.000183,0.000084,0.000435,3,2,0.000182,0.000082,0.000782
1241,82.319046,1.033686,0.374177,2.230735,4,2,1.031146,0.367496,3.606893
1242,0.005870,0.000058,0.000027,0.000136,3,2,0.000058,0.000026,0.000257
1243,48916.574219,485.521026,222.348065,1151.186621,3,2,483.330470,218.377563,2071.374052
1244,0.262025,0.004089,0.001191,0.008189,5,2,0.004053,0.001170,0.011069
1245,53145.875000,429.642180,162.030107,1250.717599,3,2,428.458146,156.311397,2250.463942
1246,0.000506,0.000005,0.000002,0.000012,3,2,0.000005,0.000002,0.000021
1247,69.226387,0.702871,0.314665,1.634935,3,2,0.695792,0.309046,3.123082
1248,0.007638,0.000119,0.000035,0.000238,5,2,0.000118,0.000034,0.000345
1249,68.188866,0.856252,0.309949,1.868788,4,2,0.854148,0.304415,3.079555
1250,60.020557,0.753682,0.272821,1.644927,4,2,0.751830,0.267949,2.710657
1251,10.098953,0.102537,0.045904,0.237132,3,2,0.101504,0.045085,0.445541
1252,80.155701,1.006521,0.364344,2.172111,4,2,1.004047,0.357838,3.512104
1253,195.473541,2.454575,0.888516,5.331723,4,2,2.448543,0.872650,8.823066
1254,0.017265,0.000217,0.000078,0.000471,4,2,0.000216,0.000077,0.000779
1255,227.640167,2.311282,1.034728,5.331267,3,2,2.288003,1.016251,10.276013
1256,0.563301,0.005719,0.002560,0.013192,3,2,0.005662,0.002515,0.025428
1257,0.306569,0.004784,0.001393,0.009544,5,2,0.004742,0.001369,0.013836
1258,1.056341,0.013265,0.004802,0.028813,4,2,0.013232,0.004716,0.047680
1259,3.989017,0.040501,0.018132,0.093422,3,2,0.040093,0.017808,0.180070
1260,9.844376,0.099952,0.044747,0.231155,3,2,0.098945,0.043948,0.434310
1261,0.447003,0.004539,0.002032,0.010496,3,2,0.004493,0.001996,0.019721
1262,0.004139,0.000052,0.000019,0.000113,4,2,0.000052,0.000018,0.000183
