ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
78,2397.142578,19.836459,3.567176,68.347898,9,6,18.512906,3.003938,147.193522
79,87.686806,0.725612,0.130486,2.489633,9,6,0.677197,0.109883,5.415885
80,0.000514,0.000004,0.000001,0.000015,9,6,0.000004,0.000001,0.000032
81,107.007172,0.885489,0.159237,3.038183,9,6,0.826406,0.134094,6.609188
82,1589.519897,13.153346,2.365357,45.320768,9,6,12.275712,1.991880,97.602468
83,3817.052490,31.586275,5.680138,108.832706,9,6,29.478736,4.783274,234.381302
84,2.382184,0.019713,0.003545,0.067921,9,6,0.018397,0.002985,0.146275
85,0.244124,0.002020,0.000363,0.006961,9,6,0.001885,0.000306,0.014990
87,0.209498,0.001734,0.000312,0.005973,9,6,0.001618,0.000263,0.012864
88,0.049282,0.000408,0.000073,0.001405,9,6,0.000381,0.000062,0.003026
89,6197.583008,51.285269,9.222594,176.706957,9,6,47.863348,7.766395,380.554782
90,3868.282471,32.010206,5.756373,110.293387,9,6,29.874380,4.847472,237.527015
91,6197.586914,51.285301,9.222600,176.707068,9,6,47.863379,7.766400,380.555022
92,1164.681641,9.637791,1.733157,33.207679,9,6,8.994726,1.459501,71.515810
93,27.014547,0.223547,0.040200,0.774017,9,6,0.208631,0.033853,1.682606
94,0.004021,0.000033,0.000006,0.000115,9,6,0.000031,0.000005,0.000250
96,17.405254,0.144029,0.025901,0.498693,9,6,0.134419,0.021811,1.084089
97,4.450742,0.036830,0.006623,0.127522,9,6,0.034373,0.005577,0.277215
98,2.254505,0.018656,0.003355,0.064596,9,6,0.017411,0.002825,0.140422
99,0.005913,0.000049,0.000009,0.000169,9,6,0.000046,0.000007,0.000368
100,0.208012,0.001721,0.000310,0.005960,9,6,0.001606,0.000261,0.012956
101,20.604153,0.170500,0.030661,0.590347,9,6,0.159124,0.025820,1.283333
102,209.210403,1.731225,0.311325,5.932740,9,6,1.615712,0.262168,13.252903
103,2.091487,0.017307,0.003112,0.059310,9,6,0.016152,0.002621,0.132490
104,268.434204,2.221305,0.399456,7.612195,9,6,2.073092,0.336384,17.004568
105,120.941620,1.000797,0.179973,3.433815,9,6,0.934021,0.151556,7.469834
106,0.963304,0.007971,0.001433,0.027350,9,6,0.007440,0.001207,0.059497
107,238043.968750,1969.824184,354.232096,6787.166101,9,6,1838.391096,298.300713,14616.790197
108,15.096419,0.124924,0.022465,0.432541,9,6,0.116588,0.018918,0.940283
109,0.018649,0.000154,0.000028,0.000534,9,6,0.000144,0.000023,0.001162
110,87589.218750,724.804591,130.341099,2497.364581,9,6,676.443267,109.760926,5378.305700
111,187.958237,1.555363,0.279700,5.330076,9,6,1.451584,0.235537,11.906637
112,42.014160,0.347669,0.062521,1.200291,9,6,0.324471,0.052649,2.683250
113,1.021202,0.008450,0.001520,0.029174,9,6,0.007887,0.001280,0.065219
114,0.021510,0.000178,0.000032,0.000615,9,6,0.000166,0.000027,0.001374
115,75392.687500,623.877765,112.191499,2149.614189,9,6,582.250607,94.477052,4629.393054
116,745098.937500,6165.726082,1108.778181,21244.437644,9,6,5754.328747,933.707942,45751.862155
117,16.488413,0.136442,0.024536,0.472424,9,6,0.127338,0.020662,1.026984
118,12.417477,0.102755,0.018478,0.355784,9,6,0.095899,0.015561,0.773425
119,10.621362,0.087892,0.015806,0.304322,9,6,0.082028,0.013310,0.661553
120,3555.364990,29.420800,5.290722,101.371410,9,6,27.457748,4.455345,218.312711
121,2267.520752,18.763833,3.374287,64.652090,9,6,17.511849,2.841505,139.234257
122,103.182541,0.853840,0.153545,2.929593,9,6,0.796869,0.129301,6.372963
123,152989.890625,1265.997992,227.663528,4362.084051,9,6,1181.526481,191.716655,9394.151615
124,1322.803467,10.946256,1.968458,37.716086,9,6,10.215886,1.657648,81.225081
125,0.003654,0.000030,0.000005,0.000104,9,6,0.000028,0.000005,0.000224
126,16.967880,0.140410,0.025250,0.486161,9,6,0.131041,0.021263,1.056847
127,17.990440,0.148872,0.026771,0.515460,9,6,0.138938,0.022544,1.120538
128,17.684347,0.146339,0.026316,0.506689,9,6,0.136575,0.022161,1.101473
129,0.440332,0.003644,0.000655,0.012616,9,6,0.003401,0.000552,0.027426
130,1516.994507,12.553195,2.257432,43.252907,9,6,11.715605,1.900996,93.149138
131,10.629360,0.087958,0.015818,0.304551,9,6,0.082090,0.013320,0.662052
132,0.402070,0.003327,0.000598,0.011520,9,6,0.003105,0.000504,0.025043
133,637148.062500,5272.427901,948.136998,18166.516690,9,6,4920.634331,798.431156,39123.274589
