algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored,total_N,mean_storage_used,mean_upload_time,mean_N,initial_node_sizes,final_node_sizes,total_chunking_time,mean_chunking_time,mean_parralelized_upload_time
random_c, 0.128969, 24335975.016695, 127261.658547, 34516.773184, 83140, 415700, 292.710789, 1.530691, 5.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[10233009.347385, 11132804.996661, 10233009.347400, 10233009.298886, 10233128.998773, 10233128.998796, 11132804.996661, 8000000.000000, 4000000.000000, 10233128.998743]", 302549.566985, 3.639037, 0.415164
alg1, 3.3873345851898193, 10815988.888887856, 63534.38397533466, 9832.71717171655, 83140, 831400, 130.09368401356573, 0.7641855181060219, 10.0, "[14000000, 16000000, 14000000, 12000000, 12000000, 12000000, 16000000, 8000000, 4000000, 12000000]", "[12918401.111111231, 14918401.111111231, 12918401.111111231, 10918401.111111231, 10918401.111111231, 10918401.111111231, 14918401.111111231, 6918401.111111194, 2918401.111110933, 10918401.111111231]", 181194.9748918908, 2.1793958971841567, 0.11826698546688176
random, 3.7609050273895264, 26108193.106072165, 153311.96306734259, 41858.29043684021, 83140, 498425, 314.02685958710805, 1.8440216871222346, 5.995008419533317, "[14000000, 16000000, 14000000, 12000000, 12000000, 12000000, 16000000, 8000000, 4000000, 12000000]", "[11377841.807380728, 13383672.49119028, 11385740.231547454, 9385384.69761894, 9379861.87583313, 9403213.23726172, 13407487.689404672, 5386495.059999902, 1383689.8923809715, 9398419.911309302]", 296110.5852673535, 3.5615899118036265, 0.5034675299114771
