algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored
alg1, 0.0013012886047363281, 11111.111111164093, 65.26796643208456, 10.101010101085357, 10
alg2, 1.3216331005096436, 15000.0, 65.7555008205879, 24.038461538461537, 10
alg3, 1.3807008266448975, 15000.0, 65.7555008205879, 24.038461538461537, 10
alg4, 1.5108284950256348, 15000.0, 71.47894404403114, 29.76190476190476, 10
alg2_rc, 0.28933072090148926, 15000.0, 77.72381127644285, 29.76190476190476, 10
alg3_rc, 1.391861915588379, 15000.0, 65.7555008205879, 24.038461538461537, 10
alg4_rc, 1.305586814880371, 15000.0, 71.47894404403114, 29.76190476190476, 10
random, 0.0017635822296142578, 34926.190476208925, 209.06508277426127, 52.17486273888552, 10
hdfs_three_replications, 0.0017390251159667969, 30000, 173.08639459434056, 23.272727272727277, 10
hdfsrs_3_2, 0.0009284019470214844, 16666.666666686535, 69.52839880359576, 39.87240829349063, 10
hdfsrs_6_3, 0.0011050701141357422, 15000.0, 65.7555008205879, 24.038461538461537, 10
hdfsrs_10_4, 0.001089334487915039, 14000.0, 63.795348036340464, 17.766497461928935, 10
vandermonders_3_2, 0.0014910697937011719, 16666.666666686535, 69.52839880359576, 39.87240829349063, 10
vandermonders_6_3, 0.0009150505065917969, 15000.0, 65.7555008205879, 24.038461538461537, 10
vandermonders_10_4, 0.0009362697601318359, 14000.0, 63.795348036340464, 17.766497461928935, 10
glusterfs_6_4, 0.0010564327239990234, 15000.0, 71.67936835273298, 13.157894736842106, 10
