algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored,total_N,mean_storage_used,mean_upload_time,mean_N,initial_node_sizes,final_node_sizes
alg1, 0.10192418098449707, 139888888.8888505, 672542.7350426731, 67254.27350427645, 1259, 12590, 111111.11111108062, 534.188034187985, 10.0, "[14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000]", "[11111.11111076029, 11111.11111076029, 11111.11111076029, 11111.11111076029, 11111.11111076029, 11111.11111076029, 11111.11111076029, 11111.11111076029, 11111.11111076029, 11111.11111076029]"
alg2, 92.32585787773132, 139888888.8888505, 672542.7350426731, 67254.27350427645, 1259, 12590, 111111.11111108062, 534.188034187985, 10.0, "[14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000]", "[11111.11111076029, 11111.11111076029, 11111.11111076029, 11111.11111076029, 11111.11111076029, 11111.11111076029, 11111.11111076029, 11111.11111076029, 11111.11111076029, 11111.11111076029]"
alg4, 89.23198819160461, 139888888.8888505, 672542.7350426731, 67254.27350427645, 1259, 12590, 111111.11111108062, 534.188034187985, 10.0, "[14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000]", "[11111.11111076029, 11111.11111076029, 11111.11111076029, 11111.11111076029, 11111.11111076029, 11111.11111076029, 11111.11111076029, 11111.11111076029, 11111.11111076029, 11111.11111076029]"
random, 0.4163644313812256, 139757619.04761904, 671911.6300366427, 144054.48717948725, 528, 3002, 264692.4603174603, 1272.5599053724293, 5.6856060606060606, "[14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000]", "[238.0952380845265, 40952.38095237012, 133809.52380951727, 26666.666666657642, 2857.142857136554, 15357.142857132189, 952.3809523681193, 238.09523808350787, 19523.809523801407, 1785.7142857021463]"
hdfs_three_replications, 0.019035816192626953, 126000000, 605769.2307692411, 201923.07692307595, 420, 1260, 300000.0, 1442.307692307717, 3.0, "[14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000]", "[0, 0, 0, 0, 0, 0, 0, 0, 0, 14000000]"
hdfsrs_3_2, 0.03522348403930664, 139666666.66666174, 671474.3589743671, 134294.87179487056, 838, 4190, 166666.66666666078, 801.282051282061, 5.0, "[14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000]", "[33333.33333326024, 33333.33333326024, 33333.33333326024, 33333.33333326024, 33333.33333326024, 33333.33333326024, 33333.33333326024, 33333.33333326024, 33333.33333326024, 33333.33333326024]"
hdfsrs_6_3, 0.036407470703125, 126000000.00000943, 605769.2307691965, 67307.69230769073, 840, 7560, 150000.00000001123, 721.1538461538054, 9.0, "[14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000]", "[1.4599208952859044e-07, 1.4599208952859044e-07, 1.4599208952859044e-07, 1.4599208952859044e-07, 1.4599208952859044e-07, 1.4599208952859044e-07, 1.4599208952859044e-07, 1.4599208952859044e-07, 1.4599208952859044e-07, 14000000]"
glusterfs_6_4, 0.026297569274902344, 84000000.0, 403846.1538461658, 67307.69230769177, 560, 3360, 150000.0, 721.1538461538676, 6.0, "[14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000, 14000000]", "[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14000000, 14000000, 14000000, 14000000]"
