algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored,total_N,mean_storage_used,mean_upload_time,mean_N,initial_node_sizes,final_node_sizes
alg1, 0.010528087615966797, 99142857.14285716, 575514.0592617375, 97163.26530612246, 34, 297, 2915966.3865546226, 16926.884095933456, 8.735294117647058, "[14000000, 14000000, 8000000, 8000000, 18000000, 4000000, 10000000, 12000000, 12000000, 12000000]", "[2285714.2857142882, 2285714.2857142882, 285714.28571428865, 285714.28571428865, 6285714.285714274, 285714.2857142847, 285714.2857142901, 285714.2857142929, 285714.2857142929, 285714.2857142929]"
alg4, 2.8060436248779297, 88004761.90476191, 495396.4861684877, 121504.40537660845, 34, 179, 2588375.350140056, 14570.484887308461, 5.264705882352941, "[14000000, 14000000, 8000000, 8000000, 18000000, 4000000, 10000000, 12000000, 12000000, 12000000]", "[11547619.047619049, 10833333.333333334, 47619.04761904746, 547619.0476190476, 447619.04761904804, 114285.71428571426, 114285.71428571426, 114285.71428571426, 114285.71428571432, 114285.71428571426]"
