algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored,total_N,mean_storage_used,mean_upload_time,mean_N,initial_node_sizes,final_node_sizes
alg4, 4.556877, 540799.444815, 3176.719201, 491.635859, 4157, 41570, 130.093684, 0.764186, 10.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[13945920.055518, 15945920.055518, 13945920.055518, 11945920.055518, 11945920.055518, 11945920.055518, 15945920.055518, 7945920.055518, 3945920.055518, 11945920.055518]"
alg1, 0.16795039176940918, 540799.4444444012, 15093.607255632356, 491.63585858580444, 4157, 41570, 130.09368401356775, 3.630889404770834, 10.0, "[14000000, 16000000, 14000000, 12000000, 12000000, 12000000, 16000000, 8000000, 4000000, 12000000]", "[13945920.055555562, 15945920.055555562, 13945920.055555562, 11945920.055555562, 11945920.055555562, 11945920.055555562, 15945920.055555562, 7945920.05555556, 3945920.0555555467, 11945920.055555562]"
random, 0.18693041801452637, 1317474.2851985944, 36707.44031262794, 2118.197394446087, 4157, 24916, 316.92910396887044, 8.830271905852284, 5.993745489535723, "[14000000, 16000000, 14000000, 12000000, 12000000, 12000000, 16000000, 8000000, 4000000, 12000000]", "[13871349.531111084, 15870492.42920631, 13867935.10265871, 11866539.929563483, 11866543.279325359, 11867516.017182525, 15870070.82087298, 7868527.178611139, 3866024.6586111104, 11867526.767658707]"
hdfs_three_replications, 0.1605536937713623, 1460158.5000001062, 57000.17233558096, 2339.9975961540226, 4157, 12471, 351.2529468366866, 13.71185285917271, 3.0, "[14000000, 16000000, 14000000, 12000000, 12000000, 12000000, 16000000, 8000000, 4000000, 12000000]", "[13513280.499999965, 15513280.499999965, 13513280.499999965, 12000000, 12000000, 12000000, 16000000, 8000000, 4000000, 12000000]"
hdfsrs_3_2, 0.16488218307495117, 811199.1666664276, 29808.650008066314, 840.620898099923, 4157, 20785, 195.14052602030975, 7.170712053900965, 5.0, "[14000000, 16000000, 14000000, 12000000, 12000000, 12000000, 16000000, 8000000, 4000000, 12000000]", "[13837760.166666714, 15837760.166666714, 13837760.166666714, 11837760.166666714, 11837760.166666714, 12000000, 16000000, 8000000, 4000000, 12000000]"
hdfsrs_6_3, 0.17974090576171875, 730079.2500003041, 21902.9570955828, 724.2849702380388, 4157, 37413, 175.62647341840366, 5.268933628959057, 9.0, "[14000000, 16000000, 14000000, 12000000, 12000000, 12000000, 16000000, 8000000, 4000000, 12000000]", "[13918880.083333286, 15918880.083333286, 13918880.083333286, 11918880.083333286, 11918880.083333286, 11918880.083333286, 15918880.083333286, 7918880.083333357, 3918880.08333334, 12000000]"
glusterfs_6_4, 0.16379547119140625, 730079.2499997877, 25558.589479733007, 640.420394736658, 4157, 24942, 175.62647341827946, 6.1483255905058956, 6.0, "[14000000, 16000000, 14000000, 12000000, 12000000, 12000000, 16000000, 8000000, 4000000, 12000000]", "[13878320.125000035, 15878320.125000035, 13878320.125000035, 11878320.125000035, 11878320.125000035, 11878320.125000035, 16000000, 8000000, 4000000, 12000000]"
