algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored,total_N,mean_storage_used,mean_upload_time,mean_N,initial_node_sizes,final_node_sizes,total_chunking_time,mean_chunking_time,mean_parralelized_upload_time
alg4, 27.041497, 12167987.508348, 59556.683576, 14485.699415, 83140, 415700, 146.355395, 0.716342, 5.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[11710913.023440, 13566402.498330, 11710966.273448, 11710925.699773, 12000000.000000, 9566402.498330, 13566402.498330, 8000000.000000, 4000000.000000, 12000000.000000]", 213947.829965, 2.573344, 0.174233
alg2, 7.853369, 12167987.508348, 59298.591822, 14485.699415, 83140, 415700, 146.355395, 0.713238, 5.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[11566402.498330, 13566402.498330, 11566402.498330, 12000000.000000, 12000000.000000, 9566402.498330, 13566402.498330, 8000000.000000, 4000000.000000, 12000000.000000]", 213947.829965, 2.573344, 0.174233
alg1, 12.615955352783203, 16223983.33334059, 95301.5759630538, 14749.075757584735, 83140, 831400, 195.14052602045456, 1.146278277159656, 10.0, "[14000000, 16000000, 14000000, 12000000, 12000000, 12000000, 16000000, 8000000, 4000000, 12000000]", "[12377601.66666571, 14377601.66666571, 12377601.66666571, 10377601.66666571, 10377601.66666571, 10377601.66666571, 14377601.66666571, 6377601.666667145, 2377601.6666668, 10377601.66666571]", 314114.04329660186, 3.7781337899519105, 0.17740047820044183
random, 11.811937808990479, 41311007.451668635, 242151.92749891087, 48765.94974960078, 82756, 655825, 499.19048107289666, 2.92609511695721, 7.924803035429456, "[14000000, 16000000, 14000000, 12000000, 12000000, 12000000, 16000000, 8000000, 4000000, 12000000]", "[9848582.188332941, 11861706.368332967, 9824124.314999621, 7862713.4366664225, 7847646.891666364, 7879784.998333109, 11849783.438332984, 3844297.0666666892, 0.0016667068611802005, 7870353.843333015]", 390649.70985864033, 4.720500143296442, 0.589273886480748
hdfs_three_replications, 6.084899187088013, 29203170.000004053, 151318.7782502567, 57942.797619049874, 83140, 249420, 351.2529468367098, 1.8200478500151154, 3.0, "[14000000, 16000000, 14000000, 12000000, 12000000, 12000000, 16000000, 8000000, 4000000, 12000000]", "[14000000, 6265609.999999554, 4265609.999999819, 12000000, 12000000, 12000000, 6265609.999999554, 8000000, 4000000, 12000000]", 271379.34833646147, 3.264124949921355, 0.6969304500727673
hdfsrs_3_2, 16.83466410636902, 0, 0, 0, 0, 0, 0, 0, 0, "[14000000, 16000000, 14000000, 12000000, 12000000, 12000000, 16000000, 8000000, 4000000, 12000000]", "[14000000, 16000000, 14000000, 12000000, 12000000, 12000000, 16000000, 8000000, 4000000, 12000000]", 0, 0, 0
hdfsrs_6_3, 7.9952476024627686, 0, 0, 0, 0, 0, 0, 0, 0, "[14000000, 16000000, 14000000, 12000000, 12000000, 12000000, 16000000, 8000000, 4000000, 12000000]", "[14000000, 16000000, 14000000, 12000000, 12000000, 12000000, 16000000, 8000000, 4000000, 12000000]", 0, 0, 0
glusterfs_6_4, 3.491776943206787, 14601584.999995753, 69775.49264989786, 12808.40789473396, 83140, 498840, 175.62647341827946, 0.8392529787093801, 6.0, "[14000000, 16000000, 14000000, 12000000, 12000000, 12000000, 16000000, 8000000, 4000000, 12000000]", "[11566402.500000708, 13566402.500000708, 11566402.500000708, 9566402.500000708, 9566402.500000708, 9566402.500000708, 16000000, 8000000, 4000000, 12000000]", 251717.34091803335, 3.0276321977150995, 0.15405831001604475
