algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored,total_N,mean_storage_used,mean_upload_time,mean_N,initial_node_sizes,final_node_sizes,total_chunking_time,mean_chunking_time,mean_parralelized_upload_time,total_read_time,mean_read_time,total_read_time_parrallelized,mean_read_time_parrallelized,total_reconstruct_time,mean_reconstruct_time,size_stored
alg4_1, 5.301810, 119952321.695306, 668323.892300, 153103.021567, 4959, 26017, 24188.812602, 134.769892, 5.246421, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.000213, 0.000276, 0.000181, 0.001828, 0.000124, 0.000038, 0.000178, 0.008974, 6203.949674, 41474.343208]", inf, inf, 30.873769, 635633.647117, 128.177787, 149798.505060, 30.207402, inf, inf, 93173383.933201
alg1_c, 0.008811, 115999999.999742, 647282.184363, 120995.670995, 4269, 37865, 27172.639962, 151.623843, 8.869759, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.000058, 2000000.000058, 0.000058, 0.000004, 0.000004, 0.000004, 2000000.000058, 0.000007, 0.000003, 0.000004]", inf, inf, 28.342860, 615194.985083, 144.107516, 118907.563025, 27.853728, inf, inf, 90604479.368304
alg_bogdan, 0.018119, 119999998.442262, 668756.315029, 200054.831371, 3928, 14267, 30549.897770, 170.253644, 3.632128, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.017341, 0.000042, 0.000016, 0.000039, 0.000015, 0.000037, 1.540099, 0.000031, 0.000050, 0.000067]", inf, inf, 50.930456, 636050.590954, 161.927340, 195072.385833, 49.662013, inf, inf, 82437363.504366
hdfs_3_replication_c, 0.001386, 102794058.022625, 535785.725713, 192376.606080, 1382, 4153, 74380.649799, 387.688658, 3.005065, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 7470717.087184, 0.000028, 0.000000, 9735224.890163]", inf, inf, 139.201596, 505183.554622, 365.545264, 188727.685515, 136.561278, inf, inf, 34264686.007542
hdfs_rs_3_2_c, 0.003204, 92274586.818364, 477406.762861, 113571.826617, 2457, 12285, 37555.794391, 194.304747, 5.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.000015, 0.000001, 0.000000, 0.000010, 0.000004, 4964052.315025, 9904905.966327, 3545082.517276, 0.000027, 9311372.382949]", inf, inf, 46.223780, 447530.940259, 182.145275, 108405.045871, 44.120898, inf, inf, 55364752.091019
hdfs_rs_6_3_c, 0.002973, 71999999.999977, 397851.436230, 72077.922078, 1764, 15876, 40816.326531, 225.539363, 9.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[6000000.000003, 8000000.000003, 6000000.000003, 4000000.000003, 4000000.000003, 4000000.000003, 8000000.000003, 0.000003, 0.000010, 7999999.999992]", inf, inf, 40.860500, 376338.565877, 213.343858, 65789.473684, 37.295620, inf, inf, 47999999.999985
glusterfs_6_4_c, 0.003251, 85107634.412144, 418361.476071, 81782.430746, 2222, 13332, 38302.265712, 188.281492, 6.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.000001, 1815394.264643, 0.000015, 0.000015, 0.000004, 0.000015, 13119090.462903, 5815749.229932, 2511995.678008, 11630135.952319]", inf, inf, 36.805774, 393689.712864, 177.178089, 80014.064662, 36.009930, inf, inf, 56738422.941429
daos_1_0_c, 0.004418, 74359058.744211, 384300.266402, 82518.100086, 1855, 14593, 40085.745954, 207.169955, 7.866846, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[907822.798373, 2907822.798373, 907822.798373, 0.000002, 7499004.996078, 7945143.577928, 11945143.577928, 3945143.577928, 0.000002, 9583037.130803]", inf, inf, 44.484151, 358270.300654, 193.137628, 78634.226517, 42.390419, inf, inf, 41476172.156129
