algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored,total_N,mean_storage_used,mean_upload_time,mean_N,initial_node_sizes,final_node_sizes,total_chunking_time,mean_chunking_time,mean_parralelized_upload_time
alg4, 294.323565, 110214852.277321, 599533.882200, 166613.525590, 752843, 4029472, 146.398190, 0.796360, 5.352340, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.060657, 0.104530, 0.005331, 0.320367, 1928444.917896, 0.231919, 0.270145, 3856795.746611, 3999905.833332, 0.231919]", 1915870.734873, 2.544848, 0.221312
alg1_c, 0.641279, 119999973.019069, 668756.177684, 163039.075880, 710285, 4261706, 168.946230, 0.941532, 5.999994, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.320388, 0.001315, 12.851240, 0.092910, 0.001319, 0.223600, 12.851255, 0.092913, 0.223677, 0.322324]", 2078303.868243, 2.926014, 0.229540
alg_bogdan, 0.772444, 119999998.432525, 668756.315333, 265423.073917, 703531, 2306476, 170.568175, 0.950571, 3.278428, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.165428, 0.113826, 0.140024, 0.274789, 0.033116, 0.300612, 0.256343, 0.036017, 0.138521, 0.108808]", 1907263.975155, 2.710988, 0.377273
hdfs_3_replication_c, 10.419528, 102000167.770298, 530229.349607, 196393.564678, 290430, 871290, 351.203966, 1.825670, 3.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[1.090283, 1.288918, 1.090283, 1.292027, 0.092027, 1.391892, 7999875.994258, 0.194258, 1.097144, 9999948.698614]", 947777.990808, 3.263361, 0.676217
glusterfs_6_4_c, 0.419792, 83999998.107546, 412320.186099, 81015.035939, 478311, 2869866, 175.617952, 0.862034, 6.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.315409, 2000000.315409, 0.315409, 0.316753, 0.316753, 0.316753, 13999999.998656, 5999999.998656, 1999999.998656, 12000000.000000]", 1447958.994201, 3.027233, 0.169377
hdfs_rs_4_2_c, 0.404903, 83999998.107546, 412320.186099, 81015.035939, 478311, 2869866, 175.617952, 0.862034, 6.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.315409, 2000000.315409, 0.315409, 0.316753, 0.316753, 0.316753, 13999999.998656, 5999999.998656, 1999999.998656, 12000000.000000]", 1447958.994201, 3.027233, 0.169377
