algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored,total_N,mean_storage_used,mean_upload_time,mean_N,initial_node_sizes,final_node_sizes,total_chunking_time,mean_chunking_time,mean_parralelized_upload_time,total_read_time,mean_read_time,total_read_time_parrallelized,mean_read_time_parrallelized,total_reconstruct_time,mean_reconstruct_time,size_stored
alg4_1, 311.995871, 119999892.274918, 668755.464160, 164032.499800, 184420, 1154261, 650.688061, 3.626263, 6.258871, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[16.925192, 0.706786, 0.857433, 0.714141, 0.257071, 0.037425, 0.053768, 0.188621, 86.980604, 1.004045]", 2069494.119223, 11.221636, 0.889451, 636049.881574, 3.448920, 160734.299534, 0.871567, 4989705.800175, 27.056208, 88123768.667535
alg_bogdan, 2.202830, 119999974.471408, 668756.184116, 217720.273630, 157876, 717094, 760.090036, 4.235958, 4.542134, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.523939, 0.405071, 0.580991, 1.231298, 0.274164, 19.255692, 0.590228, 1.004335, 1.370117, 0.292756]", 1849767.282676, 11.716583, 1.379059, 636050.462493, 4.028798, 212072.739196, 1.343287, 3675787.386459, 23.282750, 75431560.321848
alg1_c, 0.920215, 116090256.241900, 647766.728304, 121264.299944, 190598, 1669044, 609.084336, 3.398602, 8.756881, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[1.615228, 1954870.010139, 0.506587, 0.246647, 0.169510, 0.132962, 1954870.010139, 0.255013, 0.192716, 0.619163]", 2079997.387975, 10.913007, 0.636231, 615665.574223, 3.230179, 119173.031668, 0.625259, 6058165.395348, 31.785042, 91056428.261067
least_used_node, 0.466947, 119999906.087059, 668755.771142, 247481.158136, 144085, 501331, 832.841074, 4.641398, 3.479411, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.561601, 0.062524, 4.070979, 0.384204, 0.186073, 0.500020, 87.138920, 0.712449, 0.115779, 0.180392]", 1749794.500740, 12.144182, 1.717605, 636050.053542, 4.414409, 239595.604564, 1.662877, 2933069.983550, 20.356526, 68953385.341531
hdfs_rs_3_2_c, 0.300464, 94798599.736164, 494193.554096, 117453.346823, 119255, 596275, 794.923481, 4.144007, 5.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.058768, 0.269558, 0.623514, 0.003863, 0.030861, 4417142.073594, 9040277.731021, 3093518.328944, 0.929662, 8650460.214051]", 1518459.220984, 12.732877, 0.984892, 464067.943506, 3.891392, 112780.056014, 0.945705, 2689485.902737, 22.552395, 56879159.841699
glusterfs_6_4_c, 0.338812, 85531025.011179, 421748.234496, 82863.722456, 119191, 715146, 717.596337, 3.538423, 6.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[0.316746, 1744829.164804, 0.149075, 0.511591, 0.197131, 0.511591, 13129371.454533, 5756979.089370, 2421240.183673, 11416553.410308]", 1483186.474746, 12.443779, 0.695218, 396885.045027, 3.329824, 81065.008617, 0.680127, 2968037.635284, 24.901525, 57020683.340786
hdfs_rs_6_3_c, 0.223254, 71999996.679720, 397851.417868, 72077.918738, 101539, 913851, 709.087116, 3.918213, 9.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[6000000.368920, 8000000.368920, 6000000.368920, 4000000.368920, 4000000.368920, 4000000.368920, 8000000.368920, 0.368920, 0.087658, 8000000.281262]", 1368053.946257, 13.473187, 0.709855, 376338.548386, 3.706345, 65789.470514, 0.647923, 2954321.857265, 29.095440, 47999997.786480
daos_1_0_c, 0.289937, 76916165.711267, 396797.741748, 86976.761427, 90263, 717253, 852.133939, 4.396018, 7.946257, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[53932.529249, 2053932.529249, 53932.529249, 0.047316, 7913057.079561, 7914078.746171, 11914078.746171, 3914078.746171, 0.241968, 9266743.093626]", 970985.478817, 10.757292, 0.963593, 369806.195187, 4.096985, 83387.093183, 0.923824, 2698205.268329, 29.892705, 42547516.247553
