algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored,total_N,mean_storage_used,mean_upload_time,mean_N,initial_node_sizes,final_node_sizes,total_chunking_time,mean_chunking_time,mean_parralelized_upload_time
alg4, 55.579229, 14601585.010017, 81751.144630, 22123.613652, 103925, 623550, 140.501179, 0.786636, 6.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[11783177.318487, 13566402.498332, 11566402.498332, 11783225.179844, 12000000.000000, 9566402.498332, 13566402.498332, 8000000.000000, 4000000.000000, 9566402.498332]", 259244.181416, 2.494531, 0.212881
alg1_c, 0.058909, 15209984.385435, 89345.227527, 13827.258532, 103925, 1039250, 146.355395, 0.859709, 10.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[12479001.561457, 14479001.561457, 12479001.561457, 10479001.561457, 10479001.561457, 10479001.561457, 14479001.561457, 6479001.561457, 2479001.561457, 10479001.561457]", 281857.842893, 2.712127, 0.133050
alg_bogdan, 0.125601, 18251981.262521, 93844.548141, 38096.891968, 103925, 311775, 175.626474, 0.903003, 3.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[11218528.547993, 11218536.846772, 11218431.048056, 11218431.249482, 11218560.899353, 11218537.849545, 11218559.396982, 8000000.000000, 4000000.000000, 11218432.899296]", 283815.999537, 2.730969, 0.366581
hdfs_3_replication_c, 0.033973, 36503962.525043, 160022.422518, 58499.939944, 103925, 311775, 351.252947, 1.539788, 3.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[1832012.491652, 3832012.491652, 1832012.491652, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", 339192.085174, 3.263816, 0.562905
glusterfs_6_4_c, 0.209406, 18251981.262521, 87219.365872, 16010.509879, 103925, 623550, 175.626474, 0.839253, 6.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[10958003.122913, 12958003.122913, 10958003.122913, 8958003.122913, 8958003.122913, 8958003.122913, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", 314620.267054, 3.027378, 0.154058
hdfs_rs_4_2_c, 0.048852, 18251981.262521, 87219.365872, 16010.509879, 103925, 623550, 175.626474, 0.839253, 6.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[10958003.122913, 12958003.122913, 10958003.122913, 8958003.122913, 8958003.122913, 8958003.122913, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", 314620.267054, 3.027378, 0.154058
random_c, 0.147842, 24335975.016695, 127089.673139, 72024.740645, 103925, 207850, 234.168631, 1.222898, 2.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[10458076.797830, 10457845.696203, 10458076.797830, 10458063.698852, 10458063.698852, 10458026.298767, 10457845.696203, 8000000.000000, 4000000.000000, 10458026.298767]", 292006.605577, 2.809782, 0.693045
